year2018__rank_date,year2018_rank_singles,year2018_rank_doubles
11-19-2018,20,258
11-12-2018,20,251
11-05-2018,20,253
10-29-2018,22,249
10-22-2018,22,251
10-15-2018,23,249
10-08-2018,24,150
10-01-2018,28,149
09-24-2018,34,150
09-17-2018,41,155
09-10-2018,44,155
08-27-2018,52,127
08-20-2018,53,125
08-13-2018,53,124
08-06-2018,53,121
07-30-2018,53,120
07-23-2018,78,118
07-16-2018,80,121
07-02-2018,70,122
06-25-2018,69,122
06-18-2018,68,122
06-11-2018,67,123
05-28-2018,85,122
05-21-2018,91,143
05-14-2018,78,145
05-07-2018,64,148
04-30-2018,65,147
04-23-2018,64,149
04-16-2018,55,147
04-09-2018,56,146
04-02-2018,56,145
03-19-2018,53,143
03-05-2018,55,143
02-26-2018,55,140
02-19-2018,46,139
02-12-2018,45,137
02-05-2018,45,138
01-29-2018,44,136
01-15-2018,45,136
01-08-2018,44,136
01-01-2018,45,156